transaction_id,account_code,transaction_date,actual_period,vendor,invoice_number,description,amount,currency,gl_posted_period,cutoff_issue
TXN-2511-001,2000,2025-11-05,2025-11,Standard Suppliers,INV-11001,Materials Nov,145000.00,USD,2025-11,NO
TXN-2511-003,2000,2025-11-10,2025-11,Quality Parts Co,INV-22045,Components,178000.00,USD,2025-11,NO
TXN-2511-007,2000,2025-11-15,2025-11,Express Shipping,INV-33567,Freight Nov,89000.00,USD,2025-11,NO
TXN-2511-010,2000,2025-11-22,2025-11,Tech Vendors,INV-44890,IT Equipment,234000.00,USD,2025-11,NO
TXN-2511-015,2000,2025-11-28,2025-11,Office Depot,INV-55234,Office supplies,56000.00,USD,2025-11,NO
TXN-2511-018,2000,2025-11-30,2025-11,YearEnd Corp,INV-66789,Nov 30 invoice,89500.00,USD,2025-12,YES - POSTED NEXT MONTH
TXN-2511-020,2000,2025-11-30,2025-11,LastMinute LLC,INV-77901,Nov 30 invoice,68000.00,USD,2025-12,YES - POSTED NEXT MONTH
TXN-2511-025,2000,2025-11-29,2025-11,Normal Vendor,INV-88123,Regular invoice,223000.00,USD,2025-11,NO
TXN-2511-030,5000,2025-11-08,2025-11,Plant A,COGS-1108,Direct materials,145000.00,USD,2025-11,NO
TXN-2511-032,5000,2025-11-15,2025-11,Plant B,COGS-1115,Direct labor,123000.00,USD,2025-11,NO
TXN-2511-034,5000,2025-11-22,2025-11,Plant C,COGS-1122,Manufacturing OH,188000.00,USD,2025-11,NO
TXN-2511-038,5000,2025-11-30,2025-11,Plant A,COGS-1130,Nov 30 shipments,67500.00,USD,2025-12,YES - POSTED NEXT MONTH
TXN-2511-040,1200,2025-11-10,2025-11,Customer A,SINV-1110,Product sales,245000.00,USD,2025-11,NO
TXN-2511-042,1200,2025-11-18,2025-11,Customer B,SINV-1118,Services,178000.00,USD,2025-11,NO
TXN-2511-044,1200,2025-11-25,2025-11,Customer C,SINV-1125,Consulting,255000.00,USD,2025-11,NO
