Period,Account,Amount
2022-10,5100.01,224231.35
2022-10,5100.02,154362.62
2022-10,5100.03,112047.37
2022-10,5100.04,129130.16
2022-10,5100.05,87565.27
2022-10,5100.06,64901.94
2022-10,5100.07,44371.02
2022-10,5100.08,18088.62
2022-10,5200.01,13573.01
2022-10,5200.02,4400.7
2022-10,5200.03,6986.2
2022-10,5300.01,73338.13
2022-10,5300.02,27488.07
2022-10,5300.03,14621.29
2022-10,5400.01,21865.69
2022-10,5400.02,15010.84
2022-10,5400.03,17985.13
2022-10,5400.04,4586.34
2022-10,6100.01,80388.72
2022-10,6100.02,15247.9
2022-10,6100.03,30174.62
2022-10,6100.04,66951.93
2022-10,6100.05,6838.19
2022-10,6100.06,51754.57
2022-10,6100.07,9834.62
2022-10,7100.01,93331.8
2022-10,7100.02,15549.72
2022-10,7100.03,89779.01
2022-10,7100.04,49896.87
2022-10,7100.05,41368.69
2022-10,7100.06,11686.1
2022-10,7100.07,19849.42
2022-10,7100.08,37595.15
2022-10,7100.09,40259.4
2022-10,7100.10,22720.3
2022-10,8100.01,49634.98
2022-10,8100.02,23048.21
2022-10,8100.03,18249.89
2022-10,8100.04,13590.23
2022-10,8100.05,26330.96
2022-10,8100.06,9608.31
2022-10,8100.07,9376.51
2022-10,8100.08,6831.68
2022-10,9100.01,1635.61
2022-10,9100.02,403.36
2022-10,9100.03,577.08
2022-10,9100.04,269.73
2022-10,9100.05,981.65
2022-11,5100.01,326832.24
2022-11,5100.02,236320.31
2022-11,5100.03,178414.15
2022-11,5100.04,202305.18
2022-11,5100.05,133551.64
2022-11,5100.06,99559.71
2022-11,5100.07,64479.56
2022-11,5100.08,27987.32
2022-11,5200.01,22663.76
2022-11,5200.02,7289.61
2022-11,5200.03,11038.33
2022-11,5300.01,110253.34
2022-11,5300.02,43254.95
2022-11,5300.03,22943.54
2022-11,5400.01,32490.98
2022-11,5400.02,22175.41
2022-11,5400.03,26750.55
2022-11,5400.04,6697.52
2022-11,6100.01,118854.58
2022-11,6100.02,25781.92
2022-11,6100.03,43242.7
2022-11,6100.04,103731.0
2022-11,6100.05,10063.07
2022-11,6100.06,80034.89
2022-11,6100.07,13542.28
2022-11,7100.01,142190.3
2022-11,7100.02,25980.27
2022-11,7100.03,138019.85
2022-11,7100.04,76448.12
2022-11,7100.05,63024.89
2022-11,7100.06,16523.66
2022-11,7100.07,31959.34
2022-11,7100.08,56417.43
2022-11,7100.09,69286.85
2022-11,7100.10,34489.88
2022-11,8100.01,84769.55
2022-11,8100.02,35020.65
2022-11,8100.03,28742.98
2022-11,8100.04,23112.57
2022-11,8100.05,38507.94
2022-11,8100.06,15090.84
2022-11,8100.07,14610.96
2022-11,8100.08,11276.67
2022-11,9100.01,2754.15
2022-11,9100.02,644.09
